Date,Open,High,Low,Close,Volume
2014-04-13,9456.0,9230.0,9170.0,9178.0,1653.0
2014-04-10,9463.0,9525.0,9395.0,9456.0,8386.0
2014-04-09,9377.0,9482.0,9452.0,9463.0,4526.0
2014-04-08,9486.0,9467.0,9366.0,9377.0,5151.0
2014-04-07,9566.0,9544.0,9486.0,9486.0,7090.0
2014-04-06,9640.0,9589.0,9540.0,9566.0,469.0
2014-04-03,9580.0,9640.0,9552.0,9640.0,5742.0
2014-04-02,9590.0,9590.0,9560.0,9578.0,2877.0
2014-04-01,9542.0,9570.0,9537.0,9570.0,3969.0
2014-03-31,9505.0,9579.0,9518.0,9542.0,7436.0
2014-03-30,9511.0,9511.0,9490.0,9505.0,1009.0
2014-03-27,9421.0,9407.0,9372.0,9378.0,2222.0
2014-03-26,9305.0,9426.0,9358.0,9421.0,3592.0
2014-03-25,9214.0,9307.0,9221.0,9305.0,3033.0
2014-03-24,9289.0,9308.0,9148.0,9214.0,11275.0
2014-03-23,9179.0,,,9179.0,0.0
2014-03-20,9250.0,9196.0,9114.0,9179.0,13172.0
2014-03-19,9228.0,9266.0,9202.0,9250.0,10123.0
2014-03-18,9102.0,9228.0,9072.0,9228.0,14301.0
2014-03-17,9140.0,9121.0,9007.0,9102.0,2989.0
2014-03-13,9102.0,9165.0,9102.0,9140.0,9401.0
2014-03-12,9262.0,9174.0,9097.0,9102.0,8441.0
2014-03-11,9251.0,9263.0,9215.0,9262.0,6184.0
2014-03-10,9250.0,9308.0,9234.0,9251.0,5890.0
2014-03-09,9444.0,9444.0,9342.0,9379.0,1532.0
2014-03-06,9517.0,9550.0,9460.0,9507.0,12946.0
2014-03-05,9539.0,9540.0,9499.0,9517.0,7119.0
2014-03-04,9368.0,9539.0,9393.0,9539.0,8258.0
2014-03-03,9475.0,9475.0,9340.0,9368.0,13770.0
2014-03-02,9475.0,9640.0,9555.0,9571.0,1285.0
2014-02-27,9599.0,9619.0,9466.0,9475.0,4950.0
2014-02-26,9603.0,9658.0,9584.0,9599.0,5137.0
2014-02-25,9650.0,9650.0,9596.0,9603.0,6881.0
2014-02-24,9580.0,9622.0,9558.0,9596.0,8032.0
2014-02-23,9515.0,9580.0,9580.0,9580.0,366.0
2014-02-20,9603.0,9517.0,9465.0,9515.0,6717.0
2014-02-19,9593.0,9608.0,9553.0,9603.0,7218.0
2014-02-18,9619.0,9619.0,9582.0,9593.0,7374.0
2014-02-17,9631.0,9628.0,9602.0,9619.0,10713.0
2014-02-13,9522.0,9475.0,9442.0,9460.0,11161.0
2014-02-12,9374.0,9534.0,9464.0,9522.0,5969.0
2014-02-11,9255.0,9376.0,9282.0,9374.0,6734.0
2014-02-10,9330.0,9292.0,9249.0,9255.0,8538.0
2014-02-09,9128.0,9340.0,9292.0,9330.0,859.0
2014-02-06,9100.0,9190.0,9080.0,9128.0,8873.0
2014-02-05,9076.0,9094.0,9055.0,9094.0,7743.0
2014-02-04,9201.0,9201.0,9035.0,9076.0,8834.0
2014-02-03,9255.0,9275.0,9150.0,9201.0,13598.0
2014-02-02,9252.0,9260.0,9240.0,9255.0,1887.0
2014-01-30,9360.0,9360.0,9239.0,9326.0,6032.0
2014-01-29,9347.0,9482.0,9185.0,9203.0,9583.0
2014-01-28,9370.0,9381.0,9317.0,9347.0,18522.0
2014-01-27,9260.0,9352.0,9260.0,9348.0,12818.0
2014-01-26,9302.0,9325.0,9260.0,9260.0,3096.0
2014-01-23,9681.0,9681.0,9588.0,9602.0,8566.0
2014-01-22,9759.0,9759.0,9648.0,9681.0,13918.0
2014-01-21,9685.0,9724.0,9685.0,9713.0,9676.0
2014-01-20,9685.0,9691.0,9647.0,9663.0,14186.0
2014-01-19,9697.0,9720.0,9650.0,9697.0,1524.0
2014-01-16,9700.0,9700.0,9658.0,9682.0,15933.0
2014-01-15,9424.0,9700.0,9570.0,9657.0,13992.0
2014-01-14,9441.0,9452.0,9362.0,9424.0,18561.0
2014-01-13,9460.0,9476.0,9385.0,9441.0,26951.0
2014-01-12,9475.0,9520.0,9472.0,9502.0,2929.0
2014-01-09,9457.0,9500.0,9418.0,9452.0,10558.0
2014-01-08,9499.0,9499.0,9428.0,9457.0,13553.0
2014-01-07,9400.0,9452.0,9383.0,9442.0,8637.0
2014-01-06,9410.0,9416.0,9361.0,9400.0,36302.0
2014-01-05,9433.0,9390.0,9385.0,9390.0,1623.0
2014-01-02,9570.0,9570.0,9399.0,9433.0,22052.0
2014-01-01,9611.0,9630.0,9611.0,9630.0,2813.0
2013-12-31,9540.0,9590.0,9540.0,9583.0,6704.0
2013-12-30,9550.0,9557.0,9520.0,9534.0,16677.0
2013-12-29,9595.0,9595.0,9527.0,9527.0,2966.0
2013-12-26,9500.0,9517.0,9480.0,9506.0,1746.0
2013-12-25,9480.0,9500.0,9472.0,9500.0,1851.0
2013-12-24,9428.0,9499.0,9417.0,9480.0,4895.0
2013-12-23,9420.0,9430.0,9394.0,9428.0,13381.0
2013-12-22,9380.0,9470.0,9380.0,9447.0,2198.0
2013-12-19,9132.0,9307.0,9226.0,9246.0,7148.0
2013-12-18,9108.0,9132.0,9097.0,9132.0,1581.0
2013-12-17,9115.0,9120.0,9075.0,9108.0,8860.0
2013-12-16,8926.0,9133.0,8926.0,9130.0,9189.0
2013-12-15,8990.0,8980.0,8960.0,8968.0,263.0
2013-12-12,9096.0,9008.0,8960.0,8990.0,6758.0
